iter	MultiClass
0	1.325118229
1	1.144708854
2	1.013960313
3	0.9128821875
4	0.8323754688
5	0.766013125
6	0.7106040625
7	0.6634844792
8	0.6232185937
9	0.58878
10	0.5590464583
11	0.5331478125
12	0.510129375
13	0.4898681771
14	0.4723569792
15	0.4566389583
16	0.4425878125
17	0.4300521094
18	0.4190364844
19	0.4086957031
20	0.3998320052
21	0.3914186198
22	0.3841852865
23	0.3774955469
24	0.3713834115
25	0.3655130208
26	0.360620651
27	0.3559135677
28	0.3517096615
29	0.348028099
30	0.3446984115
31	0.3413765104
32	0.3384878125
33	0.3358942708
34	0.3332314323
35	0.331150026
36	0.3288680208
37	0.3269983073
38	0.3253673437
39	0.3235646615
40	0.3215997135
41	0.3199452083
42	0.3186886979
43	0.3175757292
44	0.3165085417
45	0.3152086719
46	0.3141765365
47	0.3130843229
48	0.3122829167
49	0.3112904427
50	0.3102370573
51	0.309248099
52	0.3085107031
53	0.307818776
54	0.3072138802
55	0.306537474
56	0.3057514844
57	0.3051397135
58	0.3045555208
59	0.3040097917
60	0.3035694271
61	0.3027429167
62	0.3022607292
63	0.3016999479
64	0.3013067708
65	0.300746875
66	0.3002364844
67	0.2997470573
68	0.2992775
69	0.2989170052
70	0.2985488542
71	0.2979429948
72	0.2975867448
73	0.2972696875
74	0.2968542188
75	0.2964298958
76	0.2960389063
77	0.2955738542
78	0.295219375
79	0.2949776562
80	0.2946209115
81	0.294304375
82	0.2939853646
83	0.2936496615
84	0.2932121354
85	0.2929861458
86	0.2926864844
87	0.2923804948
88	0.2921097396
89	0.2917714323
90	0.2916018229
91	0.2913967188
92	0.2909608594
93	0.2907080469
94	0.2905114062
95	0.2902330208
96	0.2899016406
97	0.2895792969
98	0.2893339062
99	0.2891372656
100	0.2889835677
101	0.288682474
102	0.2884202344
103	0.288229401
104	0.2880272396
105	0.2877926823
106	0.2875180208
107	0.2872470833
108	0.2869998698
109	0.2868545052
110	0.2866660156
111	0.2865180469
112	0.2862508073
113	0.2860736198
114	0.285876849
115	0.2857058073
116	0.2854655729
117	0.2852748958
118	0.2851066927
119	0.2849376563
120	0.2847159375
121	0.2844551302
122	0.2842463542
123	0.2839867187
124	0.2838278906
125	0.2836339583
126	0.2835039583
127	0.2833340365
128	0.2832245573
129	0.2830017188
130	0.2828689844
131	0.2827535156
132	0.2826053385
133	0.2824895052
134	0.2823534375
135	0.2822479167
136	0.2820465365
137	0.2818825
138	0.2817202344
139	0.2815515885
140	0.2813177344
141	0.2811379167
142	0.281000651
143	0.2808410156
144	0.2806850781
145	0.2805488021
146	0.2804210417
147	0.2803224219
148	0.2801389062
149	0.2799516146
150	0.2798011458
151	0.2796446875
152	0.2795286458
153	0.2794221615
154	0.2792522396
155	0.2791370313
156	0.2789603906
157	0.2788085417
158	0.2786613542
159	0.2785146615
160	0.2783872396
161	0.2782741146
162	0.2781614844
163	0.2780316667
164	0.277914375
165	0.2777721094
166	0.2776676302
167	0.2775761458
168	0.277410651
169	0.2772357812
170	0.2771416146
171	0.2770132292
172	0.2769136198
173	0.2768002865
174	0.2766526042
175	0.2765226302
176	0.2764386719
177	0.2763131771
178	0.2761663542
179	0.2760108594
180	0.2759229948
181	0.275855625
182	0.2756996354
183	0.2755863021
184	0.2754500781
185	0.2753567969
186	0.2752769531
187	0.2751923958
188	0.2751148438
189	0.2750367188
190	0.2749539323
191	0.2748738021
192	0.2748008073
193	0.2747234375
194	0.2745480469
195	0.2744573698
196	0.2743957552
197	0.2742309896
198	0.2741165625
199	0.2739201823
200	0.2738277344
201	0.2737096094
202	0.2735909896
203	0.2735284896
