iter	Passed	Remaining
0	394	394323
1	444	222006
2	494	164450
3	546	136102
4	597	118893
5	651	107941
6	699	99237
7	751	93172
8	805	88724
9	855	84719
10	903	81237
11	954	78624
12	1009	76676
13	1064	74992
14	1110	72922
15	1164	71628
16	1219	70495
17	1264	69001
18	1316	67973
19	1373	67310
20	1423	66363
21	1482	65907
22	1532	65097
23	1577	64154
24	1634	63740
25	1689	63307
26	1748	63002
27	1801	62537
28	1855	62118
29	1909	61746
30	1958	61206
31	2016	60984
32	2070	60668
33	2119	60214
34	2176	60020
35	2219	59428
36	2276	59241
37	2324	58840
38	2368	58357
39	2429	58298
40	2500	58482
41	2562	58456
42	2613	58165
43	2669	58010
44	2712	57567
45	2772	57494
46	2815	57090
47	2879	57106
48	2923	56739
49	2975	56537
50	3041	56587
51	3098	56494
52	3150	56284
53	3215	56326
54	3261	56038
55	3306	55734
56	3360	55593
57	3407	55346
58	3458	55154
59	3501	54851
60	3540	54506
61	3610	54629
62	3653	54343
63	3714	54319
64	3755	54019
65	3811	53939
66	3865	53833
67	3919	53724
68	3970	53575
69	4011	53296
70	4054	53051
71	4118	53084
72	4165	52898
73	4207	52653
74	4261	52561
75	4315	52467
76	4360	52265
77	4419	52235
78	4464	52049
79	4504	51802
80	4557	51706
81	4604	51543
82	4662	51508
83	4706	51321
84	4769	51346
85	4818	51212
86	4874	51156
87	4933	51129
88	4980	50975
89	5035	50909
90	5075	50695
91	5129	50628
92	5194	50656
93	5247	50581
94	5290	50401
95	5339	50282
96	5401	50282
97	5451	50172
98	5500	50055
99	5543	49893
100	5580	49672
101	5636	49627
102	5687	49531
103	5733	49400
104	5778	49256
105	5832	49195
106	5890	49162
107	5940	49060
108	5992	48981
109	6029	48782
110	6071	48627
111	6109	48439
112	6168	48416
113	6216	48316
114	6259	48174
115	6307	48070
116	6365	48041
117	6416	47960
118	6461	47839
119	6505	47707
120	6552	47602
121	6604	47532
122	6645	47386
123	6707	47383
124	6752	47265
125	6803	47189
126	6860	47157
127	6917	47122
128	6956	46968
129	7007	46898
130	7047	46747
131	7085	46591
132	7127	46464
133	7166	46312
134	7212	46216
135	7259	46117
136	7309	46045
137	7358	45964
138	7407	45883
139	7453	45784
140	7504	45721
141	7555	45655
142	7600	45549
143	7639	45414
144	7697	45389
145	7747	45319
146	7793	45220
147	7827	45060
148	7889	45058
149	7938	44982
150	7993	44944
151	8044	44880
152	8084	44756
153	8126	44644
154	8169	44536
155	8221	44482
156	8275	44435
157	8327	44376
158	8368	44261
159	8417	44193
160	8464	44108
161	8508	44011
162	8553	43921
163	8593	43806
164	8641	43729
165	8703	43726
166	8750	43648
167	8792	43544
168	8834	43439
169	8886	43386
170	8931	43301
171	8993	43294
172	9036	43195
173	9085	43130
174	9142	43098
175	9191	43031
176	9232	42927
177	9279	42853
178	9328	42787
179	9375	42709
180	9411	42587
181	9451	42480
182	9512	42467
183	9558	42391
184	9611	42343
185	9650	42234
186	9696	42156
187	9738	42063
188	9776	41950
189	9825	41885
190	9867	41792
191	9917	41736
192	9956	41633
193	9997	41536
194	10055	41511
195	10096	41417
196	10130	41294
197	10190	41276
198	10239	41214
199	10300	41200
200	10348	41134
201	10399	41081
202	10454	41044
203	10489	40930
204	10540	40878
205	10579	40776
206	10629	40720
207	10674	40644
208	10739	40645
209	10787	40580
210	10832	40505
211	10874	40418
212	10917	40337
213	10955	40237
214	10993	40140
215	11038	40064
216	11095	40036
217	11155	40016
218	11207	39968
219	11264	39939
220	11315	39886
221	11369	39842
222	11410	39759
223	11448	39660
224	11503	39622
225	11551	39560
226	11593	39478
227	11646	39433
228	11691	39362
229	11744	39317
230	11797	39274
231	11842	39203
232	11881	39112
233	11934	39068
234	11982	39005
235	12023	38924
236	12084	38904
237	12135	38853
238	12190	38816
239	12231	38731
240	12282	38681
241	12325	38606
242	12376	38555
243	12417	38475
244	12457	38389
245	12518	38369
246	12559	38289
247	12608	38233
248	12651	38159
249	12691	38075
250	12734	38000
251	12782	37940
252	12820	37853
253	12859	37767
254	12894	37673
255	12953	37646
256	12991	37558
257	13041	37505
258	13085	37438
259	13133	37379
260	13183	37329
261	13224	37249
262	13275	37202
263	13323	37144
264	13365	37069
265	13417	37024
266	13458	36947
267	13509	36898
268	13551	36827
269	13596	36760
270	13654	36731
271	13707	36688
272	13746	36607
273	13783	36522
274	13826	36451
275	13865	36372
276	13917	36325
277	13964	36267
278	14010	36205
279	14057	36148
280	14104	36090
281	14151	36031
282	14196	35967
283	14245	35915
284	14284	35835
285	14324	35761
286	14366	35691
287	14411	35628
288	14465	35587
289	14513	35532
290	14552	35456
291	14599	35399
292	14638	35322
293	14681	35255
294	14733	35209
295	14774	35140
296	14825	35090
297	14863	35013
298	14909	34955
299	14950	34885
300	15007	34851
301	15052	34790
302	15100	34735
303	15151	34688
304	15203	34643
305	15240	34564
306	15286	34507
307	15324	34429
308	15362	34355
309	15411	34303
310	15463	34259
311	15501	34182
312	15549	34130
313	15587	34054
314	15646	34025
315	15697	33977
316	15758	33952
317	15810	33908
318	15848	33832
319	15897	33782
320	15944	33727
321	15998	33686
322	16048	33637
323	16087	33565
324	16138	33519
325	16178	33447
326	16213	33369
327	16267	33328
328	16318	33281
329	16366	33229
330	16401	33150
331	16440	33079
332	16487	33024
333	16539	32980
334	16582	32916
335	16623	32851
336	16675	32806
337	16714	32736
338	16757	32674
339	16811	32633
340	16860	32583
341	16902	32520
342	16946	32460
343	16984	32389
344	17029	32331
345	17067	32259
346	17110	32198
347	17163	32156
348	17201	32086
349	17243	32023
350	17291	31972
351	17332	31907
352	17380	31855
353	17437	31820
354	17474	31750
355	17510	31676
356	17545	31601
357	17593	31551
358	17633	31485
359	17685	31440
360	17738	31398
361	17779	31335
362	17828	31286
363	17866	31217
364	17915	31167
365	17962	31115
366	18007	31059
367	18049	30998
368	18106	30962
369	18149	30903
370	18185	30832
371	18236	30786
372	18285	30736
373	18334	30687
374	18382	30637
375	18418	30566
376	18457	30500
377	18498	30438
378	18539	30376
379	18588	30328
380	18638	30281
381	18673	30209
382	18720	30157
383	18775	30119
384	18824	30070
385	18864	30006
386	18903	29943
387	18945	29883
388	18996	29837
389	19042	29783
390	19080	29718
391	19123	29660
392	19176	29618
393	19211	29549
394	19263	29504
395	19317	29463
396	19351	29392
397	19391	29330
398	19435	29274
399	19475	29213
400	19522	29161
401	19563	29101
402	19609	29049
403	19654	28994
404	19702	28945
405	19749	28894
406	19801	28850
407	19852	28805
408	19899	28754
409	19941	28695
410	19982	28637
411	20023	28576
412	20059	28511
413	20101	28452
414	20141	28392
415	20178	28328
416	20234	28289
417	20287	28246
418	20334	28195
419	20376	28138
420	20426	28092
421	20471	28039
422	20528	28002
423	20576	27952
424	20630	27911
425	20687	27874
426	20729	27816
427	20770	27758
428	20810	27699
429	20856	27646
430	20893	27582
431	20944	27538
432	20993	27490
433	21040	27440
434	21089	27392
435	21133	27337
436	21171	27275
437	21215	27222
438	21268	27179
439	21307	27118
440	21347	27060
441	21402	27019
442	21441	26958
443	21484	26904
444	21549	26876
445	21589	26817
446	21639	26771
447	21689	26725
448	21739	26677
449	21780	26620
450	21833	26578
451	21892	26542
452	21935	26487
453	21978	26431
454	22029	26387
455	22071	26331
456	22120	26283
457	22166	26232
458	22214	26183
459	22260	26132
460	22304	26078
461	22360	26038
462	22402	25982
463	22445	25928
464	22499	25886
465	22546	25836
466	22585	25776
467	22634	25729
468	22677	25675
469	22712	25611
470	22748	25550
471	22789	25493
472	22834	25441
473	22883	25394
474	22924	25337
475	22961	25277
476	23007	25225
477	23054	25176
478	23099	25124
479	23148	25077
480	23194	25026
481	23246	24983
482	23286	24925
483	23332	24875
484	23383	24829
485	23429	24779
486	23474	24728
487	23519	24676
488	23561	24621
489	23611	24575
490	23665	24533
491	23715	24487
492	23754	24429
493	23798	24376
494	23842	24323
495	23896	24281
496	23941	24230
497	23988	24181
498	24040	24136
499	24090	24090
500	24137	24041
501	24190	23998
502	24246	23956
503	24297	23911
504	24338	23856
505	24378	23800
506	24419	23745
507	24469	23699
508	24526	23659
509	24576	23613
510	24633	23572
511	24683	23526
512	24733	23480
513	24796	23445
514	24855	23407
515	24918	23372
516	24967	23325
517	25015	23276
518	25058	23224
519	25105	23174
520	25151	23124
521	25217	23091
522	25273	23050
523	25323	23003
524	25376	22959
525	25419	22906
526	25469	22859
527	25516	22810
528	25567	22764
529	25620	22720
530	25658	22662
531	25697	22605
532	25748	22560
533	25804	22518
534	25846	22464
535	25893	22415
536	25947	22371
537	26006	22332
538	26050	22280
539	26103	22236
540	26140	22178
541	26195	22135
542	26238	22083
543	26281	22030
544	26328	21980
545	26377	21933
546	26426	21885
547	26466	21829
548	26522	21788
549	26589	21755
550	26634	21704
551	26682	21655
552	26736	21611
553	26794	21571
554	26844	21523
555	26898	21479
556	26951	21435
557	27014	21398
558	27063	21350
559	27121	21309
560	27171	21262
561	27212	21208
562	27262	21161
563	27307	21109
564	27359	21064
565	27405	21013
566	27452	20964
567	27503	20917
568	27553	20870
569	27605	20825
570	27669	20788
571	27717	20739
572	27771	20695
573	27817	20644
574	27867	20598
575	27907	20543
576	27959	20496
577	28015	20454
578	28064	20405
579	28114	20358
580	28170	20315
581	28213	20263
582	28267	20218
583	28306	20163
584	28354	20115
585	28404	20067
586	28446	20014
587	28490	19962
588	28533	19910
589	28573	19856
590	28622	19808
591	28675	19762
592	28723	19713
593	28774	19667
594	28822	19618
595	28867	19567
596	28910	19515
597	28947	19459
598	28992	19408
599	29043	19362
600	29091	19313
601	29135	19262
602	29185	19215
603	29235	19167
604	29280	19116
605	29319	19062
606	29370	19015
607	29410	18961
608	29452	18909
609	29506	18864
610	29556	18817
611	29609	18772
612	29645	18715
613	29684	18661
614	29733	18613
615	29783	18566
616	29833	18519
617	29871	18464
618	29920	18416
619	29964	18365
620	30006	18313
621	30059	18267
622	30115	18223
623	30171	18180
624	30224	18134
625	30268	18083
626	30311	18031
627	30356	17981
628	30397	17929
629	30455	17886
630	30493	17832
631	30538	17781
632	30580	17729
633	30633	17684
634	30678	17633
635	30720	17582
636	30765	17532
637	30808	17480
638	30858	17433
639	30896	17379
640	30930	17323
641	30975	17272
642	31031	17229
643	31075	17178
644	31127	17132
645	31164	17077
646	31204	17024
647	31256	16978
648	31304	16930
649	31354	16883
650	31406	16836
651	31459	16791
652	31510	16744
653	31564	16699
654	31611	16650
655	31659	16602
656	31703	16551
657	31745	16499
658	31800	16455
659	31840	16402
660	31889	16354
661	31926	16300
662	31963	16247
663	32015	16200
664	32075	16158
665	32118	16107
666	32169	16060
667	32215	16011
668	32267	15964
669	32307	15912
670	32350	15861
671	32406	15817
672	32454	15768
673	32493	15716
674	32542	15668
675	32587	15618
676	32636	15571
677	32677	15519
678	32719	15468
679	32772	15422
680	32833	15380
681	32886	15334
682	32928	15282
683	32978	15235
684	33019	15184
685	33062	15133
686	33108	15084
687	33159	15037
688	33205	14988
689	33253	14939
690	33297	14889
691	33354	14845
692	33393	14793
693	33442	14745
694	33481	14693
695	33517	14639
696	33563	14590
697	33615	14544
698	33666	14497
699	33715	14449
700	33766	14402
701	33817	14355
702	33882	14314
703	33923	14263
704	33968	14213
705	34021	14167
706	34070	14119
707	34112	14069
708	34162	14021
709	34197	13967
710	34235	13915
711	34285	13868
712	34323	13816
713	34378	13770
714	34433	13725
715	34479	13676
716	34534	13630
717	34582	13582
718	34625	13532
719	34673	13484
720	34726	13437
721	34773	13389
722	34820	13340
723	34854	13286
724	34910	13241
725	34956	13192
726	35010	13146
727	35061	13099
728	35104	13049
729	35150	13000
730	35193	12950
731	35235	12900
732	35276	12849
733	35318	12799
734	35363	12750
735	35402	12698
736	35440	12647
737	35489	12599
738	35531	12549
739	35576	12499
740	35637	12456
741	35694	12411
742	35730	12358
743	35770	12308
744	35811	12257
745	35860	12209
746	35898	12158
747	35939	12108
748	35989	12060
749	36035	12011
750	36078	11962
751	36133	11916
752	36180	11867
753	36222	11818
754	36271	11770
755	36311	11719
756	36360	11671
757	36410	11624
758	36466	11578
759	36507	11528
760	36554	11480
761	36597	11430
762	36639	11380
763	36701	11337
764	36742	11286
765	36783	11236
766	36845	11192
767	36895	11145
768	36946	11098
769	36997	11051
770	37037	11000
771	37080	10951
772	37134	10905
773	37182	10856
774	37230	10808
775	37286	10763
776	37327	10713
777	37372	10664
778	37411	10613
779	37464	10566
780	37519	10520
781	37570	10473
782	37629	10428
783	37682	10381
784	37732	10334
785	37771	10283
786	37813	10234
787	37858	10185
788	37899	10135
789	37947	10087
790	37991	10038
791	38038	9989
792	38096	9944
793	38147	9897
794	38194	9848
795	38244	9801
796	38290	9752
797	38343	9706
798	38390	9657
799	38438	9609
800	38485	9561
801	38527	9511
802	38567	9461
803	38614	9413
804	38649	9362
805	38693	9313
806	38730	9262
807	38776	9214
808	38827	9166
809	38870	9117
810	38916	9069
811	38967	9021
812	39010	8972
813	39048	8922
814	39102	8876
815	39137	8825
816	39183	8776
817	39224	8727
818	39274	8679
819	39315	8630
820	39353	8580
821	39392	8530
822	39429	8479
823	39469	8430
824	39510	8381
825	39551	8331
826	39589	8281
827	39639	8234
828	39693	8187
829	39734	8138
830	39776	8089
831	39810	8038
832	39852	7989
833	39914	7944
834	39965	7897
835	40008	7848
836	40076	7804
837	40126	7757
838	40174	7709
839	40213	7659
840	40258	7611
841	40309	7563
842	40354	7515
843	40403	7467
844	40449	7419
845	40492	7370
846	40532	7321
847	40571	7272
848	40625	7225
849	40673	7177
850	40709	7127
851	40751	7078
852	40787	7029
853	40835	6981
854	40875	6932
855	40921	6884
856	40960	6834
857	41015	6788
858	41058	6739
859	41095	6689
860	41149	6643
861	41199	6595
862	41259	6549
863	41305	6501
864	41354	6454
865	41407	6407
866	41460	6360
867	41511	6312
868	41563	6265
869	41612	6218
870	41668	6171
871	41702	6121
872	41746	6073
873	41795	6025
874	41833	5976
875	41875	5927
876	41922	5879
877	41969	5831
878	42016	5783
879	42060	5735
880	42103	5687
881	42146	5638
882	42188	5590
883	42223	5540
884	42267	5492
885	42322	5445
886	42360	5396
887	42405	5348
888	42459	5301
889	42498	5252
890	42545	5204
891	42597	5157
892	42646	5109
893	42697	5062
894	42734	5013
895	42787	4966
896	42826	4917
897	42869	4869
898	42916	4821
899	42966	4774
900	43017	4726
901	43064	4678
902	43108	4630
903	43149	4582
904	43195	4534
905	43228	4485
906	43278	4437
907	43329	4390
908	43372	4342
909	43415	4293
910	43466	4246
911	43507	4198
912	43548	4149
913	43592	4101
914	43639	4053
915	43682	4005
916	43725	3957
917	43775	3910
918	43812	3861
919	43869	3814
920	43903	3765
921	43943	3717
922	43988	3669
923	44035	3622
924	44087	3574
925	44145	3527
926	44180	3479
927	44220	3430
928	44271	3383
929	44310	3335
930	44369	3288
931	44413	3240
932	44464	3193
933	44610	3152
934	44775	3112
935	44837	3065
936	44886	3017
937	44927	2969
938	44973	2921
939	45011	2873
940	45057	2825
941	45111	2777
942	45168	2730
943	45275	2685
944	45380	2641
945	45460	2595
946	45529	2548
947	45590	2500
948	45657	2453
949	45702	2405
950	45756	2357
951	45796	2309
952	45840	2260
953	45891	2212
954	45932	2164
955	45971	2115
956	46016	2067
957	46081	2020
958	46130	1972
959	46178	1924
960	46229	1876
