feature,importance
불만제기후경과월_R12M,0.2084521
OS구분코드_enc,0.187684
방문월수_PC_R6M,0.11222748
인입일수_ARS_B0M,0.045908302
당사멤버쉽_방문월수_R6M,0.044332936
인입일수_ARS_R6M,0.027051238
홈페이지_금융건수_R3M,0.021616178
이용메뉴건수_ARS_B0M,0.021204606
IB문의건수_사용승인내역_R6M,0.020411853
방문후경과월_앱_R6M,0.019664286
IB문의건수_CS_R6M,0.019015037
인입월수_ARS_R6M,0.018599221
IB문의건수_결제일변경_R6M,0.01830594
홈페이지_금융건수_R6M,0.017041259
방문후경과월_PC_R6M,0.014994105
IB문의건수_CL_RV_R6M,0.013297371
방문횟수_PC_B0M,0.013266706
IB문의건수_분실도난_R6M,0.012966523
방문월수_앱_R6M,0.0117938155
방문일수_앱_R6M,0.008151565
방문일수_PC_B0M,0.008070083
당사멤버쉽_방문횟수_B0M,0.0075178277
방문일수_앱_B0M,0.0073312377
인입횟수_ARS_R6M_num,0.0069739637
방문월수_모바일웹_R6M,0.0068817586
홈페이지_선결제건수_R3M,0.0062207915
방문횟수_앱_B0M,0.005994091
당사멤버쉽_방문횟수_R6M,0.0055833897
IB문의건수_카드발급_R6M,0.0048769936
방문횟수_PC_R6M_num,0.0048308615
홈페이지_선결제건수_R6M,0.0047262795
인입월수_IB_R6M,0.0047104806
이용메뉴건수_IB_R6M,0.0045871176
IB문의건수_선결제_R6M,0.004490495
IB문의건수_한도_R6M,0.0043941
인입횟수_ARS_B0M,0.004342076
상담건수_R6M,0.0043230075
이용메뉴건수_ARS_R6M_num,0.0040809456
방문횟수_모바일웹_R6M,0.003878001
인입일수_IB_R6M,0.0034036974
인입횟수_IB_R6M,0.0033445621
인입후경과월_IB_R6M,0.003098863
방문후경과월_모바일웹_R6M,0.0029202383
방문횟수_앱_R6M_num,0.002907353
IB문의건수_선결제_B0M,0.0028900485
상담건수_B0M,0.0027503073
방문일수_PC_R6M_num,0.0027419096
방문일수_모바일웹_R6M,0.0027217749
IB문의건수_결제_R6M,0.0026652236
인입후경과월_ARS,0.0025582607
IB문의건수_정보변경_R6M,0.0025332253
인입횟수_IB_B0M,0.0022739011
인입일수_IB_B0M,0.0021907282
이용메뉴건수_IB_B0M,0.0012018597
